timestamp,cpu_usage,cpu_temp,gpu_temp,power,cpu_freq,fan1,load
1778002180.5024776,30.4,66.0,66.0,0.008199999999999999,2500.193375,56.924528301886795,MED
1778002195.9785714,31.0,65.0,64.0,0.008199999999999999,2400.061125,56.990566037735846,MED
1778002202.463103,33.0,65.0,65.0,0.008199999999999999,2400.00625,57.01257861635221,MED
1778002208.9053783,39.8,64.33333333333333,64.0,0.008199999999999999,2400.0185,57.056603773584904,MED
1778002215.3370094,36.6,65.0,66.0,0.008199999999999999,2400.031375,57.056603773584904,MED
1778002221.7503476,34.9,65.33333333333333,66.0,0.008199999999999999,2600.12075,57.056603773584904,MED
1778002228.2109458,37.2,66.0,66.0,0.008199999999999999,2400.01025,57.056603773584904,MED
1778002234.8242543,36.7,66.66666666666667,68.0,0.008199999999999999,2600.0591249999998,57.01257861635221,MED
1778002241.277438,40.6,66.33333333333333,65.0,0.008199999999999999,800.0076250000001,56.98742138364779,MED
1778002247.7313833,36.7,65.66666666666667,64.0,0.008199999999999999,2400.021875,56.98742138364779,MED
1778002254.1412175,45.2,64.0,63.0,0.008199999999999999,2500.101625,56.98742138364779,MED
1778002260.6287649,31.8,64.0,65.0,0.008199999999999999,2400.0915,57.0314465408805,MED
1778002267.0923033,33.3,64.0,64.0,0.008199999999999999,800.008,57.0062893081761,MED
1778002273.5814643,44.6,63.666666666666664,62.0,0.008199999999999999,1700.0668750000002,57.0503144654088,MED
1778002280.3505106,39.1,63.333333333333336,64.0,0.008199999999999999,2000.013125,57.0314465408805,MED
1778002286.8157918,34.3,63.333333333333336,64.0,0.008199999999999999,2400.7785000000003,57.056603773584904,MED
1778002293.253492,31.9,64.33333333333333,65.0,0.008199999999999999,2400.0177500000004,57.056603773584904,MED
1778002299.7561986,34.1,65.0,66.0,0.008199999999999999,2400.0965,57.0314465408805,MED
1778002306.198445,24.3,64.0,61.0,0.008199999999999999,2400.1425000000004,57.0314465408805,LOW
1778002312.918171,16.0,62.0,59.0,0.008199999999999999,800.0778750000001,57.0314465408805,LOW
1778002319.47516,16.4,58.666666666666664,56.0,0.008199999999999999,800.071125,57.0440251572327,LOW
1778002326.029894,15.5,56.666666666666664,55.0,0.008199999999999999,900.1491249999999,57.075471698113205,LOW
1778002332.522867,16.9,55.0,54.0,0.008199999999999999,1000.02675,57.075471698113205,LOW
1778002339.5210807,19.1,54.333333333333336,54.0,0.008199999999999999,800.1585000000001,57.0440251572327,LOW
1778002346.1013775,16.5,53.666666666666664,53.0,0.008199999999999999,800.082875,57.01257861635221,LOW
1778002352.6557431,16.7,53.0,52.0,0.008199999999999999,800.029875,57.0440251572327,LOW
1778002359.207651,16.3,52.0,51.0,0.008199999999999999,800.0074999999999,57.08805031446541,LOW
1778002370.8224843,25.3,51.333333333333336,51.0,0.008199999999999999,1037.3898749999998,57.0440251572327,LOW
1778002377.362016,16.9,51.0,51.0,0.008199999999999999,799.9725000000001,56.9685534591195,LOW
1778002383.8824522,23.7,51.0,51.0,0.008199999999999999,800.1117500000001,56.943396226415096,LOW
1778002390.3705142,38.9,54.333333333333336,61.0,0.008199999999999999,2799.9959999999996,56.943396226415096,MED
1778002396.887139,15.5,54.666666666666664,52.0,0.008199999999999999,2400.1632500000005,56.943396226415096,LOW
1778002403.6488152,12.5,54.666666666666664,51.0,0.008199999999999999,800.0517500000001,56.924528301886795,LOW
1778002410.2006304,18.1,51.666666666666664,52.0,0.008199999999999999,2900.02825,56.924528301886795,LOW
1778002416.6596916,24.8,52.0,53.0,0.008199999999999999,2900.1177500000003,56.924528301886795,LOW
1778002423.0477405,20.5,52.333333333333336,52.0,0.008199999999999999,2799.991875,56.924528301886795,LOW
1778002429.8535304,23.8,53.666666666666664,56.0,0.008199999999999999,1000.2139999999999,56.924528301886795,LOW
1778002436.340187,40.6,53.666666666666664,53.0,0.008199999999999999,1600.0213749999998,56.924528301886795,MED
1778002442.8035755,33.6,53.666666666666664,52.0,0.008199999999999999,800.194375,56.924528301886795,MED
1778002449.4508035,19.0,52.0,51.0,0.008199999999999999,2813.84625,56.91194968553459,LOW
1778002455.9789307,18.0,51.333333333333336,51.0,0.008199999999999999,800.0116249999999,56.886792452830186,LOW
1778002462.4312332,26.8,50.666666666666664,50.0,0.008199999999999999,800.000875,56.90566037735849,LOW
1778002469.2918184,15.6,50.666666666666664,51.0,0.008199999999999999,800.1821249999999,56.89308176100629,LOW
1778002475.7692153,12.2,50.0,49.0,0.008199999999999999,800.057,56.90566037735849,LOW
1778002482.399544,22.2,50.0,50.0,0.008199999999999999,793.988875,56.861635220125784,LOW
1778002488.9626162,21.7,50.0,51.0,0.008199999999999999,799.9846249999999,56.861635220125784,LOW
1778002495.5073957,19.1,50.333333333333336,50.0,0.008199999999999999,800.072875,56.84905660377358,LOW
1778002502.1578143,16.6,50.666666666666664,51.0,0.008199999999999999,800.023125,56.84905660377358,LOW
1778002508.7169077,16.3,50.0,49.0,0.008199999999999999,800.0332500000001,56.84905660377358,LOW
1778002515.181155,24.7,50.333333333333336,51.0,0.008199999999999999,800.006625,56.84905660377358,LOW
1778002522.355098,28.1,49.333333333333336,48.0,0.008199999999999999,800.0175,56.817610062893074,LOW
1778002528.9189188,23.8,49.0,48.0,0.008199999999999999,800.1455,56.817610062893074,LOW
1778002535.5075283,21.8,48.0,48.0,0.008199999999999999,800.03175,56.817610062893074,LOW
1778002542.0378776,17.2,47.666666666666664,47.0,0.008199999999999999,800.154,56.817610062893074,LOW
1778002548.5868165,16.5,47.333333333333336,47.0,0.008199999999999999,797.065125,56.817610062893074,LOW
1778002560.4276729,17.2,47.0,47.0,0.008199999999999999,800.135,56.817610062893074,LOW
1778002566.8728364,18.1,47.0,47.0,0.008199999999999999,782.5086249999999,56.817610062893074,LOW
1778002573.7423475,23.2,47.0,47.0,0.008199999999999999,800.143125,56.817610062893074,LOW
1778002580.400227,19.9,47.0,47.0,0.008199999999999999,800.065125,56.78616352201258,LOW
1778002587.0249841,17.0,47.333333333333336,48.0,0.008199999999999999,1000.097875,56.77358490566038,LOW
1778002593.5270193,19.7,47.333333333333336,47.0,0.008199999999999999,800.08125,56.74213836477988,LOW
1778002600.1131392,20.6,47.333333333333336,47.0,0.008199999999999999,800.0608749999999,56.77358490566038,LOW
1778002606.8603997,17.5,47.0,47.0,0.008199999999999999,800.1065,56.78616352201258,LOW
1778002613.4031348,20.0,47.0,47.0,0.008199999999999999,800.009625,56.817610062893074,LOW
