timestamp,time,load,cpu_usage,gpu_power,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7,cpu_core_8,cpu_core_9,cpu_core_10,cpu_core_11,cpu_core_12,cpu_core_13,cpu_core_14,cpu_core_15,cpu_freq,cpu_temp,gpu_temp,current,voltage,power,proc_count,nvidia_util,nvidia_power,nvidia_temp,fan1,fan2,stage
1776305517.9963179,07:41:57,NO_LOAD,7.7,3.04,13.6,8.5,11.2,5.9,9.4,0.9,3.4,44.0,7.7,1.7,3.4,1.7,2.6,4.3,5.2,1.7,1227.9,44.2,42.0,1.024,16.35,16.74,424,0.0,4.3,40.0,44,43,2
1776305519.2449422,07:41:59,NO_LOAD,7.0,3.09,9.7,7.2,13.8,11.3,10.5,0.0,18.7,14.5,8.1,0.0,4.8,0.8,4.8,3.2,5.6,0.0,1338.7,44.2,42.0,0.979,16.21,15.87,424,0.0,4.4,40.0,43,44,2
1776305520.4952173,07:42:00,NO_LOAD,7.1,3.22,14.2,3.3,12.3,10.5,7.4,0.8,35.0,3.2,8.9,0.0,4.0,0.0,3.3,1.6,5.6,0.0,1618.7,44.2,42.0,1.020,16.33,16.66,424,0.0,4.3,40.0,44,44,2
1776305521.7444808,07:42:01,NO_LOAD,3.3,3.15,4.8,4.0,10.4,3.2,4.0,0.8,17.7,0.0,3.2,0.0,1.6,0.0,2.4,1.6,1.6,0.0,1139.0,44.0,42.0,0.916,16.32,14.95,424,0.0,4.3,40.0,44,44,2
1776305522.9882169,07:42:02,NO_LOAD,2.3,3.22,3.2,4.8,6.5,2.4,3.3,0.8,8.9,0.0,1.6,0.8,1.6,0.0,1.6,0.0,1.6,0.0,1390.2,43.8,42.0,0.876,16.35,14.32,424,0.0,4.3,40.0,44,43,2
1776305524.1473331,07:42:04,NO_LOAD,11.3,8.04,18.8,5.3,41.4,8.6,14.7,4.3,21.1,23.5,13.0,0.9,5.3,1.7,5.3,4.3,9.5,3.4,1792.2,44.4,43.0,1.141,16.23,18.52,424,0.0,4.3,40.0,43,44,2
1776305525.3925693,07:42:05,NO_LOAD,9.2,9.18,19.8,4.9,19.7,19.4,11.9,0.8,15.7,15.1,13.1,1.6,8.1,0.0,3.3,4.2,6.6,0.8,1460.7,44.6,44.0,1.137,16.21,18.44,424,0.0,4.4,40.0,44,44,2
1776305526.6381197,07:42:06,NO_LOAD,6.9,4.12,8.0,4.1,23.6,29.0,7.3,0.0,11.5,0.8,7.3,1.6,4.8,1.6,4.0,2.4,5.7,0.8,1331.4,44.5,42.0,1.202,16.09,19.34,424,0.0,4.4,40.0,44,44,2
1776305527.862286,07:42:07,NO_LOAD,7.8,7.01,10.7,4.1,7.6,47.5,8.3,3.3,8.3,5.8,8.3,0.8,5.7,0.8,3.3,2.5,5.0,0.0,1358.7,44.6,43.0,1.226,16.15,19.80,424,0.0,4.4,40.0,44,44,2
1776305529.081035,07:42:09,NO_LOAD,6.7,7.04,9.8,4.9,22.1,30.3,5.8,3.3,14.4,1.6,5.9,0.8,3.3,0.0,2.5,0.8,2.5,0.0,1273.9,44.6,43.0,1.249,16.21,20.25,424,0.0,4.4,40.0,44,44,2
1776305530.3177276,07:42:10,NO_LOAD,8.9,6.24,19.7,4.1,42.0,4.0,11.4,1.6,24.6,3.3,11.4,0.0,6.5,0.0,4.0,1.6,6.5,0.0,1235.5,44.8,43.0,1.285,16.13,20.72,424,0.0,4.4,40.0,44,44,2
1776305531.5471785,07:42:11,NO_LOAD,7.2,6.01,11.9,4.1,24.6,33.6,7.5,0.8,5.8,4.8,5.7,4.8,4.1,0.0,2.5,1.6,4.1,0.8,1253.5,44.9,43.0,1.207,16.13,19.46,424,0.0,4.4,40.0,44,44,2
1776305532.7878537,07:42:12,NO_LOAD,10.0,7.12,13.9,5.7,49.2,5.6,8.9,4.8,28.2,4.1,8.9,4.9,7.3,2.4,5.7,2.5,9.0,0.0,1241.2,45.2,43.0,1.363,16.10,21.94,424,0.0,4.4,40.0,44,45,2
1776305534.0133011,07:42:14,NO_LOAD,7.1,5.21,9.8,4.1,39.8,3.3,5.8,1.6,21.7,4.1,6.6,2.4,3.3,0.0,4.2,2.5,4.9,0.0,1385.8,45.1,43.0,1.226,16.12,19.77,427,0.0,4.4,40.0,45,45,2
1776305535.234973,07:42:15,NO_LOAD,6.4,9.18,9.7,4.1,35.3,16.5,7.6,0.8,10.8,5.0,6.7,0.0,3.3,0.0,3.3,0.8,1.7,0.0,1456.9,45.0,44.0,1.230,16.13,19.83,428,0.0,4.4,40.0,45,45,2
1776305536.4639509,07:42:16,NO_LOAD,9.2,9.12,12.1,3.3,12.2,49.2,8.3,4.1,17.9,11.5,10.7,0.0,4.9,0.8,3.3,2.4,6.5,0.0,1446.7,45.4,43.0,1.298,16.10,20.89,428,0.0,4.4,40.0,45,45,2
1776305537.6917877,07:42:17,NO_LOAD,9.1,8.07,13.1,4.1,0.9,65.0,3.3,8.9,15.0,2.4,11.4,0.0,3.3,0.8,2.5,1.7,4.1,6.5,1459.3,46.8,43.0,1.417,16.10,22.82,428,0.0,4.4,40.0,45,47,2
1776305538.927495,07:42:18,NO_LOAD,6.7,7.20,12.2,3.3,7.7,44.4,6.5,0.8,12.3,5.6,4.2,0.0,1.7,0.0,2.4,0.8,4.1,0.0,1272.5,46.1,44.0,1.259,16.14,20.32,428,0.0,4.4,40.0,47,46,2
1776305540.1479776,07:42:20,NO_LOAD,7.3,10.09,13.2,4.1,49.2,6.6,7.5,3.3,8.3,5.0,8.9,0.0,4.1,0.8,2.5,0.8,3.3,2.5,1411.2,45.8,43.0,1.208,16.11,19.46,428,0.0,4.4,40.0,46,45,2
1776305541.3857305,07:42:21,NO_LOAD,9.7,15.00,17.6,4.1,29.7,8.1,13.1,4.0,30.9,9.8,11.5,0.0,6.5,1.6,8.9,3.3,5.7,3.2,1569.5,49.0,44.0,1.752,15.98,28.01,425,0.0,4.4,40.0,45,45,2
1776305542.603272,07:42:22,NO_LOAD,9.1,7.14,19.2,5.8,27.6,24.2,12.5,1.7,11.0,7.6,13.3,0.0,5.0,0.0,5.0,2.5,9.8,2.4,1398.2,47.9,44.0,1.392,15.92,22.16,425,0.0,4.4,40.0,48,48,2
1776305543.8327515,07:42:23,NO_LOAD,7.2,13.00,10.3,4.1,39.2,21.1,8.3,0.0,8.1,10.6,4.9,0.0,2.5,0.0,1.7,0.0,4.1,0.0,1421.8,47.9,45.0,1.297,16.07,20.84,425,0.0,4.4,41.0,48,47,2
1776305545.0444565,07:42:25,NO_LOAD,6.8,8.11,10.1,5.8,41.4,0.8,9.2,0.0,19.0,5.0,5.0,0.0,4.1,0.0,2.5,4.1,0.8,0.0,1646.5,46.9,44.0,1.231,16.13,19.86,425,0.0,4.4,40.0,47,47,2
1776305546.2739332,07:42:26,NO_LOAD,11.7,8.08,21.3,11.5,19.7,13.2,12.6,4.1,9.0,45.2,12.3,1.6,8.3,1.6,8.3,4.2,12.5,4.0,1487.1,47.6,44.0,1.771,15.71,27.82,425,0.0,4.5,41.0,47,47,3
1776305547.5167212,07:42:27,NO_LOAD,7.8,4.21,13.4,3.3,12.5,11.4,6.6,2.4,7.4,45.1,6.6,0.0,5.7,0.0,3.2,2.4,5.7,0.0,1573.5,49.1,44.0,1.451,16.05,23.29,426,0.0,4.5,41.0,47,49,3
1776305548.7505078,07:42:28,NO_LOAD,2.5,3.12,4.1,4.1,3.3,4.8,4.1,0.0,2.5,12.9,2.5,0.0,1.6,0.0,1.6,0.8,1.6,0.0,1187.1,48.2,43.0,0.848,16.25,13.78,426,0.0,4.5,41.0,48,48,3
1776305549.9945493,07:42:29,NO_LOAD,7.3,3.17,14.3,3.3,8.5,19.4,12.2,1.6,24.6,0.8,8.9,1.6,4.9,0.8,5.7,3.3,6.5,0.0,1278.5,46.9,43.0,1.031,16.25,16.75,426,0.0,4.4,41.0,48,47,3
1776305551.1457262,07:42:31,NO_LOAD,13.6,4.15,15.8,19.7,18.8,15.0,12.3,11.4,19.3,51.8,14.4,0.9,8.8,2.6,7.0,5.4,9.9,0.9,1504.1,46.5,43.0,1.184,16.27,19.27,426,0.0,4.4,41.0,47,46,3
1776305552.3388917,07:42:32,NO_LOAD,4.5,4.22,3.4,5.8,26.7,4.2,6.7,0.0,0.8,20.8,3.4,0.0,0.8,0.0,0.0,0.8,0.8,1.7,1314.8,46.1,43.0,0.887,16.17,14.34,426,0.0,4.4,41.0,46,46,3
1776305553.5763042,07:42:33,NO_LOAD,2.6,3.04,3.3,3.3,4.1,0.0,2.4,0.0,11.3,9.0,0.0,0.0,1.6,0.0,1.6,0.0,0.8,0.0,1206.8,45.9,43.0,0.850,16.34,13.89,426,0.0,4.4,41.0,46,46,3
1776305554.839173,07:42:34,NO_LOAD,1.0,3.05,1.6,4.0,4.8,0.0,1.6,0.0,3.1,2.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1124.5,45.5,43.0,0.822,16.35,13.44,426,0.0,4.4,41.0,46,45,3
1776305556.0782938,07:42:36,NO_LOAD,3.2,3.03,2.4,4.8,18.9,0.0,2.5,0.0,0.8,18.5,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1210.2,45.1,43.0,0.911,16.30,14.85,426,0.0,4.3,40.0,45,45,3
1776305557.3072724,07:42:37,NO_LOAD,0.9,3.03,2.4,4.1,1.6,1.6,0.8,0.0,0.8,0.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.3,45.0,43.0,0.805,16.32,13.14,426,0.0,4.3,40.0,45,45,3
1776305558.5527987,07:42:38,NO_LOAD,0.8,3.10,0.0,4.0,2.4,0.0,2.4,0.0,0.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.5,44.8,42.0,0.815,16.35,13.32,426,0.0,4.3,40.0,45,44,3
